Groupe category title path silence_duration total_duration onset
F Orchestral The_Imperial_March_(Darth_Vaders_Theme)_silenced.wav data/mutemusic/stimuli/Orchestral/The_Imperial_March_(Darth_Vaders_Theme)_silenced.wav 12 48.0 
U Lyrics Monday_Monday_silenced.wav data/mutemusic/stimuli/Lyrics/Monday_Monday_silenced.wav 13 53.0 
U Lyrics Paperback_writer_silenced.wav data/mutemusic/stimuli/Lyrics/Paperback_writer_silenced.wav 12 46.0 
U Synthetic Aladdin_Genesis_Music_Ending_silenced.wav data/mutemusic/stimuli/Synthetic/Aladdin_Genesis_Music_Ending_silenced.wav 16 65.0 
F Lyrics Material_Girl_silenced.wav data/mutemusic/stimuli/Lyrics/Material_Girl_silenced.wav 12 50.0 
U Orchestral Dreaming_of_Bag_End_silenced.wav data/mutemusic/stimuli/Orchestral/Dreaming_of_Bag_End_silenced.wav 13 52.0 
F Orchestral Star_Trek_the_Next_Generation_(Main_Title)_silenced.wav data/mutemusic/stimuli/Orchestral/Star_Trek_the_Next_Generation_(Main_Title)_silenced.wav 14 56.0 
F Synthetic Super_Mario_Bros_(NES)_Music_Overworld_Theme_silenced.wav data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_(NES)_Music_Overworld_Theme_silenced.wav 15 59.0 
U Lyrics Murder_by_Numbers_silenced.wav data/mutemusic/stimuli/Lyrics/Murder_by_Numbers_silenced.wav 15 60.0 
F Synthetic Super_Mario_Bros_3_Castle_Theme_silenced.wav data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_3_Castle_Theme_silenced.wav 13 53.0 
