Groupe category title path silence_duration total_duration onset
U Lyrics Living_Together.wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Lyrics/Living_Together_silenced.wav 18 71.0 
F Synthetic Super_Mario_Bros_(NES)_Music_Overworld_Theme.wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Synthetic/Super_Mario_Bros_(NES)_Music_Overworld_Theme_silenced.wav 15 59.0 
U Lyrics Make_Em_Laugh.wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Lyrics/Make_Em_Laugh_silenced.wav 16 65.0 
F Lyrics I_Can't_Get_No_Satisfaction.wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Lyrics/I_Can't_Get_No_Satisfaction_silenced.wav 17 67.0 
U Synthetic Shinobi_3_Return_Of_The_Ninja_Master_OST_Shinobi_Walk_(level_4_2).wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Synthetic/Shinobi_3_Return_Of_The_Ninja_Master_OST_Shinobi_Walk_(level_4_2)_silenced.wav 13 52.0 
F Lyrics Never_Gonna_Give_You_Up.wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Lyrics/Never_Gonna_Give_You_Up_silenced.wav 12 50.0 
F Orchestral The_Imperial_March_(Darth_Vaders_Theme).wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Orchestral/The_Imperial_March_(Darth_Vaders_Theme)_silenced.wav 12 48.0 
F Synthetic Original_Tetris_theme_(Tetris_Soundtrack).wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Synthetic/Original_Tetris_theme_(Tetris_Soundtrack)_silenced.wav 12 50.0 
U Orchestral Kikis_Delivery_Service.wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Orchestral/Kikis_Delivery_Service_silenced.wav 12 48.0 
U Synthetic Space_Harrier_Music_MAIN_THEME.wav /home/maellef/git/MuteMusic/data/StimuliFinal/silenced/Synthetic/Space_Harrier_Music_MAIN_THEME_silenced.wav 12 48.0 
