Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
93,7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,8,1,1,0,0,0,4,0,False
137,2,0,0,0,1,0,1,2,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,False
59,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,True
116,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,4,0,0,1,2,0,2,4,False
6,1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
196,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,1,0,0,0,0,1,0,1,True
30,6,0,0,1,3,0,3,6,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
22,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
272,5,0,0,1,2,1,2,5,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,True
288,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,False
56,15,1,1,1,3,1,7,7,1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,False
165,8,1,1,0,0,0,4,0,11,1,1,0,1,1,5,3,12,1,1,1,2,0,6,4,False
118,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,6,0,0,1,3,0,3,6,False
204,2,0,0,0,1,0,1,2,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
81,4,0,0,1,2,0,2,4,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,False
145,5,0,0,1,2,1,2,5,3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,True
39,9,1,1,0,0,1,4,1,14,1,1,1,3,0,7,6,15,1,1,1,3,1,7,7,True
219,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
147,4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,False
181,13,1,1,1,2,1,6,5,11,1,1,0,1,1,5,3,7,0,0,1,3,1,3,7,False
